"CloudProvider","ResourceType","ResourceName","Engine","Status","Region","AvailabilityZone"
"AWS","RDS","database-1-instance-1","aurora-postgresql","available","us-east-1","us-east-1e"
"AWS","RDS","myguitarshop","mysql","available","us-east-1","us-east-1f"
